oración,error,corrección,"error cubierto por Avalingua, 1 -sí, 0 - no",sugerencia de Avalingua,"tipo de corrección (reemplazo, inserción, eliminación)",categoría,clasificación de resultados de evaluación,
"En España, la gente hablan muy rápido.",hablan,habla,1,habla,reemplazo,SVA,TP,
Pienso es muy caro.,,que,0,,inserción,Trans,FN,
Me gusta las playas del Mediterráneo.,gusta,gustan,1,gustan,reemplazo,SVA,TP,
Hace tres años trabajé a un bar.,a,en,0,,reemplazo,Prep,FN,
¡Camarero! La sopa es fría.,es,está,0,,reemplazo,SerEstar,FN,
¿Dónde son los servicios?,son,están,0,,reemplazo,SerEstar,FN,
"Vivo en la calle San José, número veinte y cuatro.",veinte y cuatro,veinticuatro,0,,reemplazo,Ort,FN,
Voy a hacer un foto.,un,una,1,una,reemplazo,ArtOrDet,TP,
Suelo ducharme en la mañana.,en,por,0,,reemplazo,Prep,FN,
"Esta frase no es correcta, está un error.",está,es,0,,reemplazo,SerEstar,FN,
Espero que apruebas el examen.,apruebas,apruebes,1,apruebes,reemplazo,Vt,TP,
Gracias para tu regalo.,para,por,1,por,reemplazo,Prep,TP,
¿Has visto el película “Hanníbal”? ,el,la,1,la,reemplazo,ArtOrDet,TP,
Tengo de comprar un nuevo televisor. ,de,que,1,que,reemplazo,ConfW,TP,
Pienso que España es un país muy guapo. ,guapo,bonito,0,,reemplazo,ConfW,FN,
Creo Valencia es muy interesante. ,,que,0,,inserción,Trans,FN,
El año pasado he leído una biografía de Gandhi. ,he leído,leí,0,,reemplazo,Vt,FN,
Necesito comprar unas nuevas gafa de sol. ,gafa,gafas,0,,reemplazo,Agr,FN,
"El 4 de abril, yo regalí a Pedro una radio. ",regalí,regalé,1,"regalo, regaló, regala, regalé, rehalí",reemplazo,SVA,TP,
"El 4 de abril, yo regalé Pedro una radio. ",,a,0,,inserción,Prep,FN,
Anoche me acuesté a las 21.50h. ,acuesté,acosté,1,acueste,reemplazo,Ort,FP,
¿Has encontrado el clase? ,el,la,1,la,reemplazo,ArtOrDet,TP,
¡Ojalá dice la verdad! ,dice,diga,1,diga,reemplazo,Vt,TP,
Esta semana vi un documental muy interesante.,vi,he visto,1,he visto,reemplazo,Vt,TP,
Ayer he limpiado mi coche.,he limpiado,limpié,0,,reemplazo,Vt,FN,
Alicia tiene no tiempo para ir a la playa.,tiene no,no tiene,0,,reemplazo,WOinc,FN,
El mes pasado escribé una carta a Manolo.,escribé,escribí,1,escribe,reemplazo,Ort,FP,
Este mes no he escribido una carta a mi madre.,escribido,escrito,1,escribid,reemplazo,Vform,FP,
Hoy he me levantado a las 8.15h.,he me,me he,0,,reemplazo,WOinc,FN,
Mi coche es roto.,es,está,1,está,reemplazo,SerEstar,TP,
"No me gusta este menú, me voy a un otro restaurante.",un,,1,,eliminación,ArtOrDet,TP,
¿Qué tal? –Soy muy cansado.,soy,estoy,0,,reemplazo,SerEstar,FN,
He cenado a mi casa.,a,en,0,,reemplazo,ArtOrDet,FN,
Cada día tenemos una pausa de once y media a doze.,doze,doce,1,"doce, dote, done, Dize, Dozy",reemplazo,Ort,TP,
Esta es el última frase del ejercicio.,el,la,1,la,reemplazo,ArtOrDet,TP,
Los niños han rompido la bicicleta.,rompido,roto,0,,reemplazo,Vform,FN,
Barcelona es la más mejor ciudad de España.,más,,1,,eliminación,Other,TP,
Necesito 20 euros por pagar al taxi.,por,para,0,,reemplazo,Prep,FN,
Me gusta tomo el sol en mi jardín.,tomo,tomar,0,,reemplazo,Vform,FN,
¿Cómo te encuentras hoy? ¿Eres mejor?,Eres,Estás,0,,reemplazo,SerEstar,FN,
He desayunado café con leche a mi casa.,a,en,0,,reemplazo,Prep,FN,
He llamado mi madre esta mañana.,,a,0,,inserción,Prep,FN,
"En España, las farmacias no son abiertas los domingos.",son,están,0,,reemplazo,SerEstar,FN,
María necesita 18 euros por comprar un nuevo diccionario.,por,para,0,,reemplazo,Prep,FN,
Los ojos de Enrique son azul.,azul,azules,0,,reemplazo,Agr,FN,
Penélope Cruz es la actriz mejor famosa de España.,mejor,más,0,,reemplazo,ConfW,FN,
¿Jugamos el tenis un rato?,el,al,1,al,reemplazo,Prep,TP,
¿Cuánto costa un zumo de naranja?,costa,cuesta,1,,reemplazo,Ort,TP,
Todo el día voy a la escuela en coche.,todo el día,todos los días,0,,reemplazo,Agr,FN,
Yo fumo nunca en el trabajo.,fumo,no fumo,0,,reemplazo,Other,FN,
¿Quieres ir a la playa con mi?,con mi,conmigo,1,mí,reemplazo,Ort,FP,
¿Dónde es la farmacia “Buena Salud”?,es,está,0,,reemplazo,SerEstar,FN,
"Si todo es claro, continuamos.",es,está,0,,reemplazo,SerEstar,FN,
Ayer he ido a la playa con mis amigos.,he ido,fui,0,,reemplazo,Vt,FN,
Anteayer yo escribí un carta a mis padres.,un,una,1,una,reemplazo,ArtOrDet,TP,
Me gusta los hombres con el pelo rubio y largo.,gusta,gustan,0,,reemplazo,SVA,FN,
Quizá vengan mi hermana a visitarme en vacaciones.,vengan,venga,0,,reemplazo,SVA,FN,
Han sacado la foto en la costa y hay unos palmeras.,unos,unas,1,unas,reemplazo,ArtOrDet,TP,
El agua está claro. ,claro,clara,0,,reemplazo,Agr,FN,
Lo que nos atrae la atención es que la arena es muy blanca y por eso diría que la foto está sacado en las Canarias o en el Caribe. (está sacado > sacado),sacado,sacada,1,sacada,reemplazo,Agr,TP,
Hay un pirámide ahí en el fondo de la foto. ,un,una,1,una,reemplazo,ArtOrDet,TP,
Hay una pirámida ahí en el fondo de la foto.,pirámida,pirámide,1,pirámide,reemplazo,Ort,TP,
Hay mucha arina muy blanca.,arina,harina,1,Arina,reemplazo,Ort,FP,
Claramente ha llovado mucho.,llovado,llovido,1,"llevado, llovido, llorado",reemplazo,Ort,TP,
